,Achilles Screening Project ID,Arxspan Cell Line Registration ID,Cell Line Name,GPP Doubling Time (hrs),Cells/T175 or Cells/mL,Cas no-spin attempts,Cas spin attempts,Cas virus batch,Blasticidin Selection (ug/ml),Activity (%GFP negative),DERIV ID,Titration Attempts,Virus Pool Name,Virus Pool Batch,Puromycin Selection (ug/ml),Flasks for infection (T175),Plates for infection,Virus for infection (ml),Infection density (cells/well),Large-scale attempts,Start Date of Pooled Infection,Late Harvest Date,Target Infection Rate,Observed Infection Rate,Observed Cell Representation,Average Observed Cell Yield on Day 5,Cumulative Screen Doublings,File Name
107,ASP1957,ACH-003121,NCIH2679,0,0,,,Grace,10,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,NCIH2679_HUMAGNE_ASP1957.xlsx
108,ASP1956,ACH-003120,NCIH1607,0,0,,,Grace,10,89,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,NCIH1607_HUMAGNE_ASP1956.xlsx
109,ASP1948,ACH-002415-01,CCLFNEURO0013T,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,CCLFNEURO0013T_HUMAGNE_ASP1948.xlsx
110,ASP1950,ACH-002452-01,CCLFNEURO0027T,0,75000000,,,0,,64,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,CCLFNEURO0027T_HUMAGNE_ASP1950.xlsx
111,ASP1951,ACH-002455-01,CCLFNEURO0034T,,36000000,,,,#REF!,57,,,Humagne,,,2,,#DIV/0!,,,Date,Date,50,#DIV/0!,#DIV/0!,0,#NUM!,CCLFNEURO0034T_HUMAGNE_ASP1951.xlsx
112,ASP1936,ACH-000600,SLR26,100,14000000,,,0,10,94,0,,ParalogV2,M-AP02-2022046,4,24,16,5.040000000000001,1500000,,2022-05-19 00:00:00,,43,0.12411582670203361,17872679.04509284,47730000,5.333273759506885,SLR26_PARALOGV2_ASP1936.xlsx
113,ASP1964,ACH-000924,NCIH2172,47,11000000,,,0,10,78,0,,ParalogV2,M-AL30-20210921,2,27,14,13.230000000000002,1500000,,2022-05-12 00:00:00,2022-06-03 00:00:00,45,0.38575548144926136,40594335.1645106,126450000,5.49821822150367,NCIH2172_PARALOGV2_ASP1964.xlsx
114,ASP1983,ACH-000952,MDAPCA2B,,,,,,#REF!,,,,Humagne,,,#DIV/0!,,#DIV/0!,,,Date,Date,50,#DIV/0!,#DIV/0!,0,#NUM!,MDAPCA2B_HUMAGNE_ASP1983.xlsx
115,ASP1984,ACH-000177-03,NCIH660,,,,,,#REF!,,,,Humagne,,,#DIV/0!,,#DIV/0!,,,Date,Date,50,#DIV/0!,#DIV/0!,0,#NUM!,NCIH660_HUMAGNE_ASP1984.xlsx
116,ASP1979,ACH-000482,RERFLCKJ,,,,,Grace,#REF!,,,,Humagne,,,#DIV/0!,,#DIV/0!,,,Date,Date,50,#DIV/0!,#DIV/0!,0,#NUM!,RERFLCKJ_HUMAGNE_ASP1979.xlsx
117,ASP1982,ACH-000825,HOP92,0,6000000,,,0,10,90,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,HOP92_HUMAGNE_ASP1982.xlsx
118,ASP1977,ACH-000066,HCC4006,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,HCC4006_HUMAGNE_ASP1977.xlsx
119,ASP1978,ACH-000451,NCIH2085,100,4400000,,,0,,0.78,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,NCIH2085_HUMAGNE_ASP1978.xlsx
120,ASP1937,ACH-000385,SKRC20,0,17500000,,,0,10,0,0,,ParalogV2,M-AP02-20220426,0,,,,1500000,,Date,Date,45,,,0,,SKRC20_PARALOGV2_ASP1937.xlsx
121,ASP1966,ACH-000434,NCIH1915,74,32400000,,,,,87,,,ParalogV2,M-AL30-20210921,2,14,20,14.13474142,1500000,,2022-05-19 00:00:00,2022-06-08 00:00:00,40,0.3177881575,55612927.57,105100000,3.460072598,NCIH1915_PARALOGV2_ASP1966.xlsx
122,ASP1965,ACH-000845,NCIH1373,55,30000000,,,,10,0.88,,,ParalogV2,M-AL30-20210921,2,13,16,50.4,1500000,,2022-06-02 00:00:00,2022-06-24 00:00:00,45,0.5350847458,70719145.58,392500000,#NUM!,NCIH1373_PARALOGV2_ASP1965.xlsx
123,ASP1985,ACH-002711,UMHACC2A,60,10000000,,,0,,93,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,UMHACC2A_HUMAGNE_ASP1985.xlsx
124,ASP1874,ACH-003063-01,LMMEL57,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,LMMEL57_HUMAGNE_ASP1874.xlsx
125,ASP1980,ACH-001489,CORL32,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,CORL32_HUMAGNE_ASP1980.xlsx
126,ASP1986,ACH-001676,TY82,,,,,,#REF!,,,,Humagne,,,#DIV/0!,,#DIV/0!,,,Date,Date,50,#DIV/0!,#DIV/0!,0,#NUM!,TY82_HUMAGNE_ASP1986.xlsx
127,ASP1967,ACH-000272,SLR24,46,29500000,,,0,10,90,0,,ParalogV2,M-AP02-20220426,2,11,14,7.87383792318926,1500000,,2022-05-12 00:00:00,2022-06-03 00:00:00,40,0.3822685440969866,30367413.143064614,125625000,5.975493261766914,SLR24_PARALOGV2_ASP1967.xlsx
128,ASP1883,ACH-003072-01,CHLA05ATRT,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,CHLA05ATRT_HUMAGNE_ASP1883.xlsx
129,ASP1968,ACH-000416,NCIH838,36,26000000,,,,10,78,,,ParalogV2,M-AP02-20220426,2,14,16,3.79515729,1500000,,2022-05-19 00:00:00,Date,40,0.4676135672,61805153.19,221850000,7.324209696,NCIH838_PARALOGV2_ASP1968.xlsx
130,ASP1881,ACH-003070-01,CHLA01MED,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,CHLA01MED_HUMAGNE_ASP1881.xlsx
131,ASP1952,ACH-002451-01,CCLFNEURO0026T,,,,,,#REF!,2,,,Humagne,,,#DIV/0!,,#DIV/0!,,,Date,Date,50,#DIV/0!,#DIV/0!,0,#NUM!,CCLFNEURO0026T_HUMAGNE_ASP1952.xlsx
132,ASP1882,ACH-003071-01,NCIH748,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,NCIH748_HUMAGNE_ASP1882.xlsx
133,ASP1987,ACH-001435,1156QE8,120,5000000,,,0,,58,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,1156QE8_HUMAGNE_ASP1987.xlsx
134,ASP1989,ACH-001405,UACC462,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,UACC462_HUMAGNE_ASP1989.xlsx
135,ASP1953,ACH-002456-01,CCLFNEURO0035T,0,0,,,0,,82,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,CCLFNEURO0035T_HUMAGNE_ASP1953.xlsx
136,ASP1970,ACH-000484,VMRCRCW,140,10000000,,,0,10,80,0,,ParalogV2,M-AP02-20220426,20,,,,1500000,,Date,Date,45,,,0,,VMRCRCW_PARALOGV2_ASP1970.xlsx
137,ASP1975,ACH-000013,ONCODG1,72,25000000,,,0,10,84,0,,ParalogV2,M-AP02-20220426,2,18,20,6.300000000000001,1500000,,Date,Date,43,,,0,,ONCODG1_PARALOGV2_ASP1975.xlsx
138,ASP1973,ACH-000339,HCC461,42,26000000,,,,,85,,,ParalogV2,M-AP02-20220426,2,17,20,13.64900464,1500000,,2022-06-06 00:00:00,2022-06-27 00:00:00,40,0.08034067999,14461322.4,65000000,4.87267844,HCC461_PARALOGV2_ASP1973.xlsx
139,ASP1945,ACH-000253,COLO201,72,80000000,,,,10,79,,,ParalogV2,M-AP02-20220426,2,6,14,4.41,1500000,,2022-06-06 00:00:00,2022-06-27 00:00:00,40,0.4255120482,53614518.07,168000000,4.036497092,COLO201_PARALOGV2_ASP1945.xlsx
140,ASP1944,ACH-000403,NCIH747,72,13000000,,,,10,86,,,ParalogV2,M-AP02-20220426,2,32,20,50.4,1500000,,2022-05-26 00:00:00,2022-06-16 00:00:00,40,0.4877118644,#REF!,232000000,#REF!,NCIH747_PARALOGV2_ASP1944.xlsx
141,ASP1866,ACH-000709,KMRC2,120,13500000,,,,10,80,,,ParalogV2,M-AP02-20220426,2,22,14,2.885485508,1500000,,2022-06-06 00:00:00,2022-06-27 00:00:00,45,0.2086807929,21386977.12,136300000,#NUM!,KMRC2_PARALOGV2_ASP1866.xlsx
142,ASP1938,ACH-000741,UBLC1,72,15000000,,,,,83,,,ParalogV2,M-AP02-20220426,2,25,18,4.532194161,1500000,,Date,Date,40,#DIV/0!,#DIV/0!,0,#NUM!,UBLC1_PARALOGV2_ASP1938.xlsx
143,ASP1924,ACH-003016,TELOHAEC,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,TELOHAEC_HUMAGNE_ASP1924.xlsx
144,ASP1878,ACH-003067-01,CHLA01RMED,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,CHLA01RMED_HUMAGNE_ASP1878.xlsx
145,ASP1992,ACH-001578,NCCIT,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,NCCIT_HUMAGNE_ASP1992.xlsx
146,ASP1981,ACH-000186,NCIH2444,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,NCIH2444_HUMAGNE_ASP1981.xlsx
147,ASP1972,ACH-000886,NCIH2009,36,40000000,,,,10,87,,,ParalogV2,M-AP02-20220426,2,9,14,4.87993661,1500000,,2022-06-16 00:00:00,Date,45,0.5307293595,5921788.673,299250000,#NUM!,NCIH2009_PARALOGV2_ASP1972.xlsx
148,ASP1971,ACH-000313,KMRC3,80,16000000,,,,10,94,,,ParalogV2,M-AP02-20220426,2,21,16,18.84949747,1500000,,2022-06-08 00:00:00,Date,40,0.5101948019,44873951.89,126000000,4.254520279,KMRC3_PARALOGV2_ASP1971.xlsx
149,ASP1969,ACH-000787,LXF289,45,12500000,,,,10,,,,ParalogV2,M-AP02-20220426,2,26,16,4.848,1500000,,2022-05-16 00:00:00,2022-06-06 00:00:00,45,0.5146356784,57896513.82,210800000,8.474385565,LXF289_ParalogV2_ASP1969.xlsx
150,ASP1947,ACH-002490-01,NCIH1882,,100000000,,,Megan,#REF!,,,,Humagne,,,2,,#DIV/0!,,,Date,Date,50,#DIV/0!,#DIV/0!,0,#NUM!,NCIH1882_HUMAGNE_ASP1947.xlsx
151,ASP1923,ACH-003017,EAHY926,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,EAHY926_HUMAGNE_ASP1923.xlsx
152,ASP1990,ACH-002534,SNU228,72,2000000,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,SNU228_HUMAGNE_ASP1990.xlsx
153,ASP1991,ACH-002236,EB3,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,EB3_HUMAGNE_ASP1991.xlsx
154,ASP2008,ACH-002046,HTMMT,60,9000000,,,0,10,0,0,,ParalogV2,M-AP02-20220426,2,44,20,,1500000,,Date,Date,45,,,0,,HTMMT_PARALOGV2_ASP2008.xlsx
155,ASP2011,ACH-001496,ESO26,80 (avana),10000000,,,0,10,0,0,,ParalogV2,M-AP02-20220426,4,52,26,8.190000000000001,1500000,,Date,Date,42,,,0,,ESO26_PARALOGV2_ASP2011.xlsx
156,ASP1963,ACH-000438,LU65,0,0,,,0,0,0,0,,ParalogV2,,0,,,,0,,Date,Date,45,,,0,,LU65_PARALOGV2_ASP1963.xlsx
157,ASP1939,ACH-001411,UMUC5,36,40000000,,,,10,85,,,ParalogV2,M-AP02-20220426,2,9,14,18.97595014,1500000,,2022-06-27 00:00:00,Date,40,#DIV/0!,#DIV/0!,0,#NUM!,UMUC5_PARALOGV2_ASP1939.xlsx
158,ASP2010,ACH-000965,RL952,50,110000000,,,,10,,,,ParalogV2,M-AP02-20220426,2,6,18,2.878796956,1500000,,Date,Date,45,#DIV/0!,#DIV/0!,0,#NUM!,RL952_PARALOGV2_ASP2010.xlsx
159,ASP2021,ACH-000835,GCT,30,25000000,,,,10,,,,ParalogV2,,2,2,,#DIV/0!,,,Date,Date,45,#DIV/0!,#DIV/0!,0,#NUM!,GCT_PARALOGV2_ASP2021.xlsx
160,ASP2022,ACH-000505,RKN,134,13000000,,,,,88,,,ParalogV2,M-AP02-20220426,2,26,16,1.523357328,1500000,,Date,Date,45,#DIV/0!,#DIV/0!,0,#NUM!,RKN_PARALOGV2_ASP2022.xlsx
161,ASP2009,ACH-000302,SNU1077,74 avana screen,10000000,,,0,10,0,0,,ParalogV2,M-AP02-20220426,2,55,28,16.725564760139665,1500000,,Date,Date,45,,,0,,SNU1077_PARALOGV2_ASP2009.xlsx
162,ASP2015,ACH-002446,CCLFUPGI0005T,45,15000000,,,0,10,0,0,,ParalogV2,M-AP02-20220426,2,23,16,13.379401837326213,1500000,,Date,Date,45,,,0,,CCLFUPGI0005T_PARALOGV2_ASP2015.xlsx
163,ASP2016,ACH-000047,GCIY,0,0,,,0,0,0,0,,ParalogV2,,0,,,,0,,Date,Date,45,,,0,,GCIY_PARALOGV2_ASP2016.xlsx
164,ASP1612,ACH-002411,CCLFNEURO0008T,,,,,,#REF!,,,,Humagne,,,#DIV/0!,,#DIV/0!,,,Date,Date,50,#DIV/0!,#DIV/0!,0,#NUM!,CCLFNEURO0008T_HUMAGNE_ASP1612.xlsx
165,ASP1606,ACH-002416,CCLFNEURO0014T,,,,,,#REF!,,,,Humagne,,,#DIV/0!,,#DIV/0!,,,Date,Date,50,#DIV/0!,#DIV/0!,0,#NUM!,CCLFNEURO0014T_HUMAGNE_ASP1606.xlsx
166,ASP2014,ACH-001664,SNU638,0,0,,,0,0,0,0,,ParalogV2,,0,,,,0,,Date,Date,45,,,0,,SNU638_PARALOGV2_ASP2014.xlsx
167,ASP2017,ACH-000475,HUH1,49 (avana screen),3.5e7 (avana screen),,,0,0,0,0,,ParalogV2,,0,,,,0,,Date,Date,45,,,0,,HUH1_PARALOGV2_ASP2017.xlsx
168,ASP2018,ACH-000471,LI7,46,49300000,,,,10,,,,ParalogV2,,5,2,,#DIV/0!,,,Date,Date,45,#DIV/0!,#DIV/0!,0,#NUM!,LI7_PARALOGV2_ASP2018.xlsx
169,ASP1898,ACH-001151,OVCAR5,77,18000000,,,,10,,,,ParalogV2,,2,2,,#DIV/0!,,,Date,Date,45,#DIV/0!,#DIV/0!,0,#NUM!,OVCAR5_PARALOGV2_ASP1898.xlsx
170,ASP1900,ACH-001719,OCIC4P,,7700000,,,,10,,,,ParalogV2,,10,2,,#DIV/0!,1500000,,Date,Date,45,#DIV/0!,#DIV/0!,0,#NUM!,OCIC4P_PARALOGV2_ASP1900.xlsx
171,ASP1658,ACH-000696,OVCAR8,25,20000000,0,1,,8,,,1,Humagne,0,1,5,3,1.2368203282508323,1500000,1,2020-09-25 00:00:00,2020-10-06 00:00:00,50,0.3504230482480709,9140822.492598616,109220000,12.364425825581502,OVCAR8_HUMAGNE_ASP1658.xlsx
172,ASP1655,ACH-000362,MOLM13,43,200000000,0,1,,8,,,1,Humagne,,1,3,3,1.5207591575557444,1500000,1,2020-09-25 00:00:00,2020-10-09 00:00:00,50,0.3723421172194457,9215467.40118128,24900000,,MOLM13_HUMAGNE_ASP1655.xlsx
173,ASP1656,0,MOLM13scc2-enCas12a,,200000000,,,00:00:00,8,0,0,2,Humagne,,1,3,3,1.7305425834734147,1500000,1,2020-09-24 00:00:00,2020-10-09 00:00:00,50,0.38133555709582395,8322648.5336163575,37275000,10.010073215416398,MOLM13SCC2_HUMAGNE_ASP1656.xlsx
174,ASP1653,ACH-000404,K029AX,40,42500000,0,1,,,,,1,Humagne,1,,3,1,1.3010753044674779,3000000,1,2020-11-02 00:00:00,2020-11-16 00:00:00,50,0.5871813558547294,10569264.40538513,72128000,8.910336598255071,K029AX_HUMAGNE_ASP1653.xlsx
175,ASP1759,ACH-000804,NB1,32,45000000,0,1,M-AI97-20200128,3,51,,1,Humagne,M-AK41-20200825,1,5,6,3.2496527336941394,1500000,1,2021-02-22 00:00:00,2021-03-09 00:00:00,50,0.5506318135509458,24227595.197563414,138688000,9.517609869864163,NB1_HUMAGNE_ASP1759.xlsx
176,ASP1768,ACH-000087,SKES1,36,80000000,0,1,M-AI97-20201208,8,70,,1,Humagne,M-AK41-20200819,1,3,4,1.0839740532974949,1500000,1,2021-02-25 00:00:00,2021-03-11 00:00:00,50,0.4583942514075964,14194683.00545218,86400000,8.750890152441883,SKES1_HUMAGNE_ASP1768.xlsx
177,ASP1758,ACH-000053,KARPAS299,35,400000000,0,1,M-AI97-20200811,2,80,0,1,Humagne,M-AK41-20200819,1,2,6,8.771675395038988,1500000,1,2021-02-15 00:00:00,2021-03-01 00:00:00,50,0.5471704714423161,21126137.11137983,122850000,7.519834701730464,KARPAS299_HUMAGNE_ASP1758.xlsx
178,ASP0742,ACH-001619,OCUG1,55,15000000,0,1,M-AI97-20201208,15,85,,1,Humagne,M-AK92-20200825,1,7,4,3.9552,1500000,1,2021-02-25 00:00:00,2021-03-12 00:00:00,50,0.20102635489004497,7236948.776041619,44012800,6.819121227657863,OCUG1_HUMAGNE_ASP0742.xlsx
179,ASP0738,ACH-001054,D458,50,60000000,0,1,,8,65,,1,Humagne,AK42-20200825,2,4,2,0.24464167831439004,3000000,1,2021-03-11 00:00:00,2021-03-26 00:00:00,50,0.22498137585845648,6302647.275809435,63000000,7.047714019855986,D458_HUMAGNE_ASP0738.xlsx
180,ASP1657,ACH-000168,NOMO1,50,200000000,0,1,,8,0,,1,Humagne,0,1,3,3,3.1580797970291434,1500000,1,2020-09-25 00:00:00,2020-10-09 00:00:00,50,0.7262708555812003,11987947.46284808,39675000,6.4651804902114485,NOMO1_HUMAGNE_ASP1657.xlsx
181,ASP1766,ACH-000233,DEL,36,250000000,0,1,M-AI97-20201208,8,89,0,1,Humagne,M-AK41-20200825,2,3,8,19.968000000000004,1500000,1,2021-02-22 00:00:00,2021-03-09 00:00:00,50,0.5844893876340078,38553674.18819416,189900000,6.979486321558083,DEL_HUMAGNE_ASP1766.xlsx
182,ASP1763,ACH-000583,MC116,36,170000000,0,1,Ach reserved 40ml prep,10,80,0,1,Humagne,20200825,1,4,6,15.120000000000003,3000000,1,2021-03-08 00:00:00,2021-03-22 00:00:00,50,0.27606015147634555,19161750.425705455,97050000,10.21647016081516,MC116_HUMAGNE_ASP1763.xlsx
183,ASP1762,ACH-001858,SSP25,70,7000000,0,1,M-AI97-20200811,10,68,0,1,Humange,M-AK41-20200825,1,13,4,5.105177412593732,1500000,1,2021-02-25 00:00:00,2021-03-11 00:00:00,50,0.44320154525264327,10802844.03457693,54828000,6.611348877629018,SSP25_HUMAGNE_ASP1762.xlsx
184,ASP1761,ACH-000025,CH157MN,35,25000000,0,1,M-AI97-20200128,2,92,0,1,Humagne,M-AK41-20200819,1,7.76,8,20.16,1500000,1,2021-02-18 00:00:00,2021-03-05 00:00:00,33,0.35776718856364875,23673730.0727863,154800000,7.736424656820285,CH157MN_HUMAGNE_ASP1761.xlsx
185,ASP0756,ACH-000074,KU81,45,300000000,0,1,0,10,60,,1,Humagne,AK42-20200825,1,3,4,2.9889518422367756,3000000,1,2021-03-15 00:00:00,2021-03-29 00:00:00,35,0.34287449392712555,24686963.56275304,122560000,5.013914746927972,KU812_HUMAGNE_ASP0756.xlsx
186,ASP0760,ACH-000097,ZR751,90,36000000,0,1,20200128,6,55,,1,Humagne,AK42-20200825,2,5,2,1.89,3000000,1,2021-03-11 00:00:00,2021-03-25 00:00:00,50,0.7195007172826403,23773620.432357255,42750000,,ZR751_HUMAGNE_ASP0760.xlsx
187,ASP1767,ACH-000292,NCIH841,30,60000000,0,1,M-AI97-20200811,8,75,,1,Humagne,M-AK41-20200819,2,4,6,3.7800000000000007,1500000,2,2021-07-08 00:00:00,2021-07-23 00:00:00,50,0.3328013606179715,17971273.473370463,139544000,7.8365674292202865,NCIH841_HUMAGNE_ASP1767.xlsx
188,ASP0740,ACH-000067,HS683,55,21200000,0,1,,3,69,,1,Humagne,20200825,2,6,4,3.78,1500000,2,2021-07-12 00:00:00,2021-07-27 00:00:00,50,0.3852013598811028,11401960.252480643,49210400,7.762509350319292,HS683_HUMAGNE_ASP0740.xlsx
189,ASP1756,ACH-000658,KMS18,21,605000,0,1,M-AI97-20201208,5,83,,1,Humagne,M-AK41-20200819,1,3,4,1.9468414890986558,1500000,1,2021-02-25 00:00:00,2021-03-11 00:00:00,50,0.44938002333135496,12750034.711968869,45500000,5.837694478827043,KMS18_HUMAGNE_ASP1756.xlsx
190,ASP1757,ACH-001028,CHLA06ATRT,40,40000000,0,1,M-AI97-20200811,3,60,,1,Humagne,M-AK41-20200819,1,4.7,6,1.8,1500000,1,2021-02-18 00:00:00,2021-03-05 00:00:00,50,0.6150181159420289,20442749.399839956,163950000,9.551626557170255,CHLA06ATRT_HUMAGNE_ASP1757.xlsx
191,ASP1764,ACH-000022,PATU8988S,36,75900000,0,1,M-AI97-20201208,10,88,0,1,Humange,M-AK41-20200819,2,4,6,2.063486014381046,1500000,1,2021-02-25 00:00:00,2021-03-11 00:00:00,50,0.5534957545835809,28558720.449249025,110400000,3.126433170233793,PATU8988S_HUMAGNE_ASP1764.xlsx
